Hectare	Shift	Date	Anonymized Sighter	Sighter Observed Weather Data	Litter	Litter Notes	Other Animal Sightings	Hectare Conditions	Hectare Conditions Notes	Number of sighters	Number of Squirrels	Total Time of Sighting
01A	AM	10072018	110.0	70º F, Foggy	Some		Humans, Pigeons	Busy		1	4	22.0
01A	PM	10142018	177.0	54º F, overcast	Abundant		Humans, Pigeons	Busy		1	7	26.0
01B	AM	10122018	11.0	60º F, sunny	Some		Humans, Dogs, Pigeons, Horses	Busy		1	17	23.0
01B	PM	10192018	109.0	59.8º F, Sun, Cool	Some		Humans, Dogs, Pigeons, Sparrow, Blue jay	Busy		1	10	35.0
01C	PM	10132018	241.0	55° F, Partly Cloudy			Humans, Dogs, Pigeons, Birds	Busy		1	10	25.0
01D	AM	10062018	250.0	66º F, cloudy, light drizzle	Some		Humans	Calm		1	9	35.0
01E	AM	10062018	218.0	65º F approx, misty	Some		Humans	Calm		1	5	26.0
01F	AM	10102018	123.0	74º F, Partly cloudy, no wind			Humans, Dogs, Ducks	Calm		1	5	20.0
01F	PM	10192018	241.0	59º F, Clear			Humans, Dogs, Pigeons, Birds	Busy		1	3	24.0
01G	PM	10102018	151.0	77º F, Warm, sunny, humid			Humans, Dogs, Cats, Raccoons	Busy		1	3	28.0
01G	AM	10062018	232.0	64º F, cloudy, light drizzle			Humans, Dogs, Pigeons, Ducks, Bluejay, Sparrow, Starling	Busy		1	4	25.0
01H	PM	10132018	27.0	56° F, Cloudy			Humans	Busy		1	2	28.0
01H	AM	10122018	224.0	59º F, mostly sunny, windy	Some		Humans, Pigeons, Small birds	Busy		1	2	27.0
01I	AM	10072018	8.0	71º F, Cloudy	Some		Humans, Dogs, Pigeons, Horses	Calm		1	0	28.0
02A	AM	10102018	66.0	73º F, Cloudy, 85% humidity	Abundant		Humans, Dogs	Busy		1	9	25.0
02A	PM	10192018	109.0	55º F, Sun	Some		Humans, Dogs, Pigeons, Downy Woodpecker, Sparrows	Calm		1	6	30.0
02C	AM	10102018	66.0	70º F			Humans, Small birds	Busy		1	9	25.0
02D	AM	10072018	116.0	71º F, cloudy			Humans, Dogs	Calm		1	6	25.0
02D	PM	10122018	134.0	61º F, sunny			Humans	Busy		1	2	35.0
02E	AM	10102018	167.0	73º F			Humans, Hawks, Dogs	Calm		1	7	20.0
02E	PM	10142018	177.0	58º F, overcast	Some		Humans, Dogs	Busy		1	5	22.0
02F	AM	10062018	126.0	64º F, slight wind, dew point 59, misty	Some		Humans, Dogs	Calm		1	5	25.0
02G	AM	10102018	60.0	73º F, Overcast			Humans, Dogs	Busy		1	4	20.0
02G	PM	10072018	119.0	80º F, Humid. Party. Cloudy.			Humans, Pigeons, Mice	Calm		1	3	22.0
02H	AM	10062018	116.0	65º F, cloudy			Humans, Pigeons, Ducks, Geese			1	3	22.0
02H	PM	10062018	196.0	67º F, Cloudy, mist-rain	Some		Humans, Dogs	Busy		1	2	30.0
02I	AM	10062018	56.0	65º F, overcast	Some		Humans, Pigeons	Busy		1	2	28.0
02I	PM	10062018	134.0							1	2	20.0
03A	PM	10172018	241.0	60º F, mostly cloudy			Humans, Dogs, Birds	Calm		1	8	25.0
03B	PM	10072018	231.0	80º F, Cloudy. Humid	Some		Humans, Dogs	Busy		1	11	15.0
03C	AM	10072018	116.0	71º F, Cloudy			Humans, Dogs	Calm		1	2	20.0
03C	PM	10082018	134.0	62º F, overcast	Some		Humans, Dogs	Busy		1	2	30.0
03D	AM	10062018	121.0	64º F, overcast, moist	Some		Humans, Dogs, Pigeons, Birds	Busy		1	8	35.0
03D	PM	10102018	241.0	77º F, Sunny, humid			Humans, Dogs, Birds	Busy		1	14	31.0
03E	AM	10062018	28.0	cloudy, slight drizzle	Some		Humans, Dogs (off-leash)	Calm		1	8	23.0
03E	PM	10082018	158.0	65º F, overcast			Humans	Busy		1	9	25.0
03F	AM	10062018	93.0	66º F, overcast			Humans, Birds	Calm		1	14	46.0
03G	AM	10082018	114.0	67º F, overcast	Some		Humans, Dogs, Pigeons	Moderate	kinde (sic)	1	3	20.0
03G	PM	10132018	224.0	"57° F, Cloudy to Partly Cloudy, ""Crisp"""	Some		Humans, Dogs, Ducks, Cardinal, Small birds, Robin	Busy		1	3	39.0
03H	AM	10082018	114.0	67º F, overcast			Humans, Dogs, Pigeons	Calm		1	6	23.0
03I	PM	10132018	27.0	56° F, Partly Cloudy	Some		Humans, Pigeons	Busy		1	8	25.0
03I	AM	10102018	123.0	74º F, Partly cloudy, minimal wind			Humans, Dogs, Pigeons	Busy		1	5	20.0
04A	AM	10072018	110.0	70º F, Foggy			Humans, Dogs, Birds, but not pigeons	Calm		1	5	22.0
04A	PM	10072018	231.0	80º F, Cloudy. Humid	Some		Humans, Dogs	Busy		1	6	20.0
04B	PM	10182018	109.0	48º F, Sun			Humans, Dogs	Busy		1	5	
04B	AM	10102018	167.0	70º F Partly cloudy	Abundant		Humans, Dogs	Busy		1	6	25.0
04C	PM	10102018	217.0	77º F, Mostly sunny, humid			Humans, Dogs, Sparrows	Busy		1	17	20.0
04D	AM	10122018	11.0	60º F, partly cloudy			Humans, Dogs, Blue Jays	Busy		1	4	25.0
04D	PM	10082018	134.0	65º F, overcast	Some		Humans	Calm		1	14	65.0
04E	AM	10202018	145.0	55º F, Cloudy			Humans, Dogs, Small birds, Dogs	Busy		1	4	24.0
04E	PM	10082018	158.0	65º F, overcast						1	8	29.0
04F	AM	10072018	8.0	71º F, Coudy. Misty. Rain.	Some		Humans, Dogs	Calm		1	0	23.0
04G	PM	10072018	133.0	77º F, Sunny	Some		Humans	Busy		1	1	36.0
04H	PM	10062018	134.0	65º F, Very Overcast			Humans	Busy		1	2	31.0
04H	AM	10062018	168.0	64º F, overcast	Some		Humans, Dogs, Birds, Song birds and Crows	Busy		1	4	45.0
04I	AM	10062018	34.0	65º F, overcast, misty	Some		Humans, Dogs, Pigeons, Rat	Busy		1	3	42.0
04I	PM	10072018	134.0	77º F, Sunny	Some		Humans	Busy		1	3	31.0
05A	AM	10062018	61.0	64º F			Humans, Dogs	Busy		1	5	50.0
05A	PM	10102018	241.0	77º F, Mostly Sun, humid			Humans, Dogs, Birds	Calm		1	4	23.0
05B	AM	10082018	163.0	66º F, overcast	Some		Humans, Dogs	Busy		1	4	26.0
05B	PM	10132018	241.0	55° F, Partly Cloudy			Humans, Dogs, Birds	Busy		1	6	25.0
05C	AM	10062018	169.0	64º F, cloudy, light rain	Some		Humans, Dogs, Sparrows, Starlings, American robins	Calm		1	7	25.0
05C	PM	10102018	217.0	77º F, Mostly sunny			Humans, Dogs	Busy		1	13	20.0
05D	PM	10182018	109.0	48º F, Sunny			Humans, Dogs, Sparrows, Robin	Moderate		1	7	20.0
05D	AM	10202018	145.0	55º F, Cloudy			Humans, Dogs, Other birds	Calm		1	4	23.0
05E	PM	10122018	134.0	61º F, sunny			Humans	Busy		1	6	44.0
05E	AM	10082018	163.0	66º F, overcast, misty	Some		Humans, Hawks, Dogs	Busy		1	10	34.0
05F	AM	10072018	17.0	71º F, Cloudy	Some		Humans, Dogs, Pigeons	Busy		1	6	25.0
05F	PM	10072018	119.0	80º F, Humid. Cloudy.			Humans, Dogs, Pigeons, Tourists	Busy		1	6	22.0
05G	PM	10102018	151.0	77º F Sunny humid			Dogs	Busy		1	5	20.0
05G	AM	10062018	230.0	64º F, cloudy, misty			Humans, little Birds	Busy		1	1	20.0
05H	AM	10072018	17.0	70º F, Cloudy			Humans, Dogs	Calm		1	1	25.0
05H	PM	10062018	196.0	67º F, Cloudy, misting	Abundant		Humans	Busy		1	0	30.0
05I	AM	10102018	60.0	74º F			Humans, Dogs	Busy		1	6	20.0
05I	PM	10082018	96.0	65º F, dark and damp, drizzling			Humans, Dogs, Pigeons	Calm		1	2	25.0
06A	PM	10122018	115.0	sunny, chilly	Some		Humans, Dogs, Birds	Busy		1	7	25.0
06A	AM	10062018	211.0	65º F, gray, misting	Some		Humans, Dogs	Calm		1	8	20.0
06B	PM	10172018	241.0	61º F, mostly cloudy			Humans, Dogs, Birds	Busy		1	7	25.0
06B	AM	10122018	261.0	58º F, partly sunny, breezy			Humans (Bikers, Runners), Dogs, Small birds	Busy		1	2	22.0
06C	AM	10072018	34.0	68º F, Overcast. Humid.			Humans, Dogs	Busy	T/V busy with cars. Lots on dogs in ball fields.	1	8	25.0
06C	PM	10202018	150.0	65º F						1	4	25.0
06D	PM	10202018	150.0	65º F	Some		Humans, Dogs	Busy		1	6	25.0
06D	AM	10082018	250.0	66º F, cloudy	Some		Humans, Dogs	Calm		1	4	21.0
06E	PM	10102018	195.0	77º F, Mostly sunny (humid) but lovely			Humans	Busy		1	5	22.0
06F	PM	10082018	114.0	65º F, drizzly			Humans, Dogs	Busy		1	6	23.0
06F	AM	10062018	263.0	18º C, Cloudy	Abundant		Humans, Dogs	Busy		1	1	26.0
06G	PM	10202018	242.0	61º F, Sunny. Sun starting to go down	Some		Humans, Horses, Birds	Busy		1	4	24.0
06H	AM	10082018	6.0	66º F, overcast, damp			Humans, Dogs			1	2	30.0
06H	PM	10202018	242.0	63º F, Perfect			Humans, Birds, Cardinal	Calm		1	3	25.0
06I	AM	10062018	17.0	65º F, cloudy						1	1	23.0
06I	PM	10132018	256.0	57° F, Cloudy	Some		Humans, Dogs, Pigeons	Busy		1	7	26.0
07A	PM	10072018	182.0	79º F, Cloudy			Humans, Dogs	Calm		1	2	22.0
07A	AM	10062018	227.0	67º F, light drizzle	Some		Humans, Dogs, Robins (Birds)	Busy		1	3	29.0
07B	AM	10082018	60.0	67º F, misty			Humans, Dogs, Pigeons	Busy		1	15	30.0
07B	PM	10062018	118.0	Misty	Some		Humans, Dogs	Busy		1	1	22.0
07C	AM	10122018	261.0	58º F, partly cloudy, breezy			Humans (Very Few)	Calm	Sheep Meadow Closed!	1	3	20.0
07D	PM	10102018	115.0	77º F, Humid, sunny	Some		Humans	Busy		1	1	25.0
07D	AM	10062018	117.0	60s, cloudy, threatening to rain, misty			Humans, Dogs	Calm		1	0	30.0
07E	AM	10062018	118.0	64º F, Cloudy			Humans, Dogs, Pigeons	Calm		1	6	26.0
07F	PM	10122018	131.0	60º F, sunny			Humans, Dogs, Small birds	Calm		1	3	25.0
07G	AM	10102018	67.0	Muggy, cloudy, slightly damp			Humans, Dogs, Birds, Blue jays	Busy		1	9	25.0
07G	PM	10182018	242.0	52º F, Sunny			Humans	Busy		1	7	20.0
07H	PM	10062018	227228.0	68º F, drizzle			Humans, Sparrow			1	10	25.0
07I	AM	10122018	44.0	59º F, sunny, very windy	Some		Humans, Dogs, Pigeons, Small birds	Busy	Construction	1	0	25.0
07I	PM	10132018	256.0							1	8	33.0
08A	PM	10142018	103.0	58º F, cloudy, cool & crisp			Humans, Dogs, Pigeons, Mice, Sparrows	Busy		1	3	25.0
08B	PM	10122018	115.0	chilly, sunny	Some		Humans	Busy		1	9	35.0
08C	AM	10072018	34.0	68º F, Overcast. Humid.			Humans, Dogs	Calm	Humans quietly walking polite dogs. dog run.	1	2	20.0
08D	PM	10072018	182.0	80º F, Sunny	Some		Humans, Dogs	Busy		1	4	22.0
08D	AM	10072018	224.0	71º F, Overcast. Misty			Humans, Dogs, Pigeons	Calm	Very calm, except you can hear machinery	1	8	26.0
08E	AM	10132018	78.0	46º F, rain			Humans, Dogs	Calm		1	2	20.0
08E	PM	10082018	96.0	cloudy, drizzling			Humans, Dogs	Busy		1	8	25.0
08F	PM	10122018	131.0	60º F, sunny	Some		Humans, Dogs	Calm		1	8	25.0
08F	AM	10142018	145.0	52º F, Partly Cloudy, Mostly Sunny			Humans, Dogs, Owls, Small birds	Busy	Concert at Naumburg Bandshell	1	0	23.0
08G	AM	10122018	44.0				Humans	Calm		1	0	23.0
08G	PM	10172018	242.0	61º F, Sunny, Breezy			Humans, Dogs, Horses, Birds	Busy		1	2	20.0
08H	PM	10142018	138.0	57º F, Cloudy	Some		Dogs, Pigeons, Small birds	Calm		1	9	25.0
08H	AM	10172018	163.0	50º F, clear, windy			Humans, Dogs	Busy		1	6	26.0
08I	PM	10132018	134.0	56° F, Partly Cloudy	Some		Humans, Dogs, Wood Thrush	Calm		1	9	64.0
08I	AM	10062018	237.0	77º F, cloudy	Some		Humans, Dogs	Busy		1	12	27.0
09A	PM	10102018	195.0	77º F (humid) but lovely			Humans, Dogs, Pigeons	Busy	Doggie play area	1	4	22.0
09B	AM	10102018	211.0	70º F			Blue jay	Busy		1	9	30.0
09C	AM	10062018	196.0	68º F, cloudy	Some		Humans, Dogs, Birds	Busy		1	3	20.0
09C	PM	10062018	230.0	65º F, Mostly Cloudy	Some		Humans, Dogs, Birds			1	7	20.0
09D	PM	10082018	55.0	drizzling	Some		Humans, Dogs	Calm		1	0	10.0
09D	AM	10082018	60.0	66º F, overcast, misty	Some		Humans, Dogs, Birds	Busy		1	4	20.0
09E	AM	10082018	6.0	overcast, damp			Humans, Dogs	Busy		1	4	20.0
09E	PM	10142018	101.0	57º F, cloudy			Humans, Hawks, Dogs, Small birds	Busy		1	3	30.0
09F	AM	10132018	78.0	46º F, rain			Humans, Dogs	Busy		1	4	20.0
09F	PM	10142018	138.0	57º F, crisp & mostly cloudy	Some		Humans, Dogs, dogs off-leash :( , Birds	Calm	But loud music at edge	1	8	23.0
09G	PM	10072018	96.0	81º F, Cloudy	Some		Humans, Dogs, Pigeons	Busy		1	6	34.0
09G	AM	10072018	97.0	70º F, Humid. Cloudy.	Some		Humans, Dogs, Horse drawn carriage. Woodpecker	Busy		1	4	25.0
09H	PM	10182018	242.0	52º F, Sunny			Humans, Dogs	Busy		1	9	21.0
09I	PM	10102018	114.0	77º F, Mostly sunny			Humans, Dogs	Busy		1	7	24.0
10A	AM	10062018	8.0	65º F, cloudy, light drizzle			Humans, Dogs, Red Robins	Busy		1	4	24.0
10A	PM	10142018	101.0	57º F, cloudy			Humans, Dogs, Pigeons, Small birds, Rat, Mice			1	4	25.0
10B	PM	10142018	103.0	58º F, overcast cool & crisp			Humans, Dogs, Pigeons, Tiny birds on trees	Busy		1	5	25.0
10C	AM	10182018	242.0	43º F, Sunny, Breezy	Some		Humans, Dogs	Calm		1	4	22.0
10D	PM	10082018	55.0	65º F, overcast	Some		Humans, Dogs	Busy		1	1	18.0
10D	AM	10082018	250.0	66º F, cloudy	Some		Humans	Busy		1	5	21.0
10E	AM	10102018	211.0	71º F, Cloudy, humid	Some		Humans, Dogs	Busy		1	2	25.0
10E	PM	10072018	224.0	79º F, Partly Cloudy	Some		Humans	Busy		1	1	24.0
10F	AM	10072018	97.0	71º F, Humid. Cloudy.			Humans, Dogs, Pigeons, Chickadees, Tour groups	Busy		1	3	25.0
10F	PM	10192018	221.0	58º F, Partly, Cloudy	Some		Humans, Dogs, Pigeons	Busy	CRAZY BUSY	1	12	30.0
10G	PM	10172018	242.0	60º F, windy, clouds coming in. A couple drops of rain.			Humans	Calm		1	10	23.0
10H	PM	10072018	96.0	81º F, Partly Cloudy. Humid.	Some		Humans, Dogs, Pigeons, Horses	Busy		1	2	25.0
10I	AM	10102018	67.0	Partly cloudy, dewy	Some		Humans, Dogs	Busy		1	4	26.0
10I	PM	10132018	134.0	56° F, Partly Cloudy			Humans, Dogs	Busy		1	1	25.0
11A	AM	10142018	13.0	Mild (mid-50s), cloudy	Some		Humans, Dogs, Robins, Small brown birds -- not sparrows	Busy	Noisy and thumpy Avon Walk music from east	1	0	22.0
11A	PM	10132018	229.0	55º F, cloudy	Some		Humans, Dogs, Rat (with an apple core), Horses, Robin	Busy		1	5	25.0
11B	AM	10072018	35.0	71º F, Overcast. Humid	Some		Humans, Dogs, Pigeons, Horses	Busy		1	5	30.0
11B	PM	10142018	234.0	Cool, Cloudy	Some		Humans, Dogs, Horses	Busy		1	8	18.0
11C	AM	10072018	35.0	70º F, Overcast. Humid.			Humans, Dogs	Busy		1	0	30.0
11C	PM	10182018	191.0	53º F, Sunset			Humans, Ducks, Blue Jay, Horse!	Calm		1	1	26.0
11D	AM	10102018	83.0	72º F, Glasses fogging humid			Humans, Dogs, Blue jays, Robins	Calm		1	8	20.0
11E	PM	10122018	132.0	61º F, sunny	Some		Humans, Dogs, Pigeons	Busy		1	7	20.0
11E	AM	10132018	203.0	48º F, rain (from light to steady)			Humans, Horses	Busy		1	4	21.0
11F	AM	10132018	97.0	49º F, rainy, overcast, kinda windy			Humans, Dogs, Chickadees	Busy		1	3	30.0
11G	AM	10122018	37.0	60º F, partly cloudy, windy	Some		Humans, Blue jays, Robins	Calm		1	1	20.0
11G	PM	10132018	85.0	55º F, cloudy			Humans, Horses	Busy		1	2	26.0
11H	AM	10102018	37.0	70º F, Muggy	Some		Humans, Sparrows	Calm		1	9	20.0
11I	AM	10122018	166.0	60º F, windy, partly cloudy			Humans, Dogs	Calm		1	2	20.0
12A	AM	10082018	123.0	66º F, overcast, drizzling, no wind	Some		Humans, Dogs	Busy		1	2	20.0
12A	PM	10132018	229.0	55º F, cloudy	Some		Humans, Dogs, Rat			1	4	24.0
12B	PM	10182018	151.0	50º F, Sunny, Brisk	Some		Humans, Dogs	Busy		1	1	20.0
12B	AM	10072018	260.0	70º F, Cloudy	Some		Dogs	Busy		1	2	
12C	AM	10132018	203.0	48º F, light & steady rain			Humans, Dogs, Pigeons, Ducks, Geese	Calm		1	3	20.0
12C	PM	10172018	249.0	partly cloudy, pleasant	Some		Humans, Waterfowl	Calm		1	1	22.0
12D	AM	10132018	28.0	rainy	Some		Humans, Dogs	Busy		1	2	23.0
12D	PM	10142018	36.0	56º F			Humans, Dogs	Calm		1	3	20.0
12E	AM	10172018	83.0	51º F, sunny, clear	Some		Humans, Dogs, Pigeons, Various bird types	Busy		1	8	25.0
12E	PM	10182018	191.0	53º F, Sunny			Humans, Dogs, Birds, Ducks	Busy		1	6	23.0
12F	PM	10072018	220.0	79º F, Partly Cloudy			Humans, Dogs, Pigeons	Busy		1	15	21.0
12F	AM	10202018	256.0	55º F, Cloudy	Some		Humans, Dogs, Pigeons	Busy		1	6	35.0
12G	AM	10122018	166.0	60º F, windy, cloudy			Humans, Dogs, Blue jay, Sparrows	Calm		1	5	20.0
12H	AM	10072018	235.0	71º F, Cloud	Some		Humans, Dogs, Mandarin Duck	Moderate		1	0	20.0
12I	AM	10132018	8.0	46º F, rainy, cold			Humans, Dogs	Calm		1	1	25.0
12I	PM	10172018	80.0	60º F, sunny, very windy			Humans, Dogs	Busy		1	0	25.0
13A	AM	10172018	83.0	49º F, sunny, not a cloud			Humans, Hawks, Dogs, Pigeons, Sparrows, blue jays	Calm		1	5	22.0
13A	PM	10142018	234.0	cool, cloudy			Humans, Dogs	Busy		1	4	20.0
13B	AM	10082018	123.0	66º F, overcast, no wind	Some		Humans, Dogs, Ducks	Busy		1	0	20.0
13B	PM	10082018	240.0	70º F, misting			Humans, Dogs, Sparrows, Rats	Busy		1	2	20.0
13C	PM	10192018	47.0	56º F, Overcast	Some		Humans	Calm		1	5	25.0
13C	AM	10102018	83.0	71º F Cloudy and wicked humid	Some		Humans, Dogs, Blue jay, Cardinal, Warbler	Calm, Busy	Sporadically punctuated busy	1	4	20.0
13D	PM	10182018	215.0	55º F, Sunny	Some		Humans, Dogs, Pigeons, Cats, Birds, Ducks	Busy		1	14	27.0
13D	AM	10142018	252.0	51º F, cloudy w/sun	Some		Humans, Dogs	Calm	Loud from concert	1	11	22.0
13E	PM	10082018	184.0	66º F, misty, cloudy, humid	Some		Humans, Dogs	Busy		1	11	30.0
13E	AM	10172018	224.0	52º F, sunny & brisk	Some		Humans, Birds (non-pigeon)	Calm		1	13	50.0
13F	PM	10082018	127.0	66º F, misty, light rain, cloudy			Humans	Busy		1	5	20.0
13F	AM	10072018	145.0	70-73º F			Humans, Dogs, Small birds	Calm		1	4	28.0
13G	AM	10132018	162.0	50º F, rain			Humans	Calm		1	0	25.0
13G	PM	10082018	244.0	65º F, overcast, light breeze			Humans, Dogs, Sparrows, Robins	Moderate		1	4	22.0
13H	PM	10102018	60.0	80º F, sunny	Abundant		Humans, Dogs	Busy		1	9	25.0
13H	AM	10132018	240.0	~60º F, rainy	Some	2-3 pieces	Humans, Dogs, Ducks	Calm	Tour at Alice in Wonderland)	1	1	20.0
13I	AM	10132018	8.0	46º F			Humans, Dogs, Ducks	Calm		1	0	30.0
13I	PM	10082018	127.0	66º F, misty, cloudy	Some		Humans, Dogs, Mice	Busy		1	1	20.0
14A	AM	10142018	13.0	mid-50s, cloudy			Humans, Dogs, Pigeons, Finches, Sparrows	Busy	Avon Walk	1	2	21.0
14A	PM	10142018	36.0	57º F	Some		Humans, Dogs, Small birds	Calm		1	8	20.0
14B	AM	10072018	28.0	67º F, Cloudy	Some		Woodpecker	Busy		1	3	
14B	PM	10142018	222.0	57º F, overcast	Some		Humans, Dogs, Rat, Ducks	Calm, Busy	Busy, calm off walkways	1	8	22.0
14C	PM	10062018	25.0	67º F, Gloomy, overcast	Some		Humans, Dogs, Pigeons	Calm		1	3	30.0
14C	AM	10072018	254.0	70º F, Cloudy	Some		Humans, Dogs	Calm		1	0	22.0
14D	AM	10142018	116.0	52º F, mostly cloudy			Humans, Dogs	Calm	Loud music from Bethesda Terrace	1	16	55.0
14D	PM	10192018	151.0	60º F, Cloudy	Some		Humans, Dogs	Busy		1	16	35.0
14E	PM	10172018	80.0	58º F, sunny, breezy			Humans, Dogs	Calm		1	5	25.0
14E	AM	10082018	203.0	65º F, fog, clouds, mist	Some		Humans	Calm		1	23	40.0
14F	PM	10122018	24.0	61º F, sunny, windy	Some		Humans, Dogs	Calm		1	9	25.0
14F	AM	10072018	172.0	73º F	Some		Humans, Dogs	Calm		1	6	29.0
14G	AM	10122018	37.0	60º F, partly cloudy, windy			Humans, Dogs, Robins, Horses	Calm		1	4	20.0
14H	PM	10122018	24.0	61º F, sunny, windy, sun going behind trees	Some		Humans, Dogs (Lots)	Busy		1	8	20.0
14H	AM	10072018	235.0	71-78º F, Cloudy	Some		Humans, Dogs, Mandarin Ducks			1	4	25.0
14I	PM	10182018	70.0	40º F, Sunny	Some		Humans, Dogs, Pigeons, Rat	Calm		1	6	25.0
14I	AM	10132018	240.0	~60º F, rainy			Humans, Dogs, Pigeons	Calm, Busy	Calm (in Park), Busy (on Road)	1	1	21.0
15A	PM	10172018	224.0	52º F, cloudy, light rain drops, chilly			Humans, Birds	Calm, Busy	Busy at sidewalk	1	1	20.0
15B	PM	10172018	206.0	cool, windy			Humans, Dogs, Birds	Busy		1	5	40.0
15B	AM	10142018	209.0	50º F, sunny			Humans, Dogs	Busy		1	3	20.0
15C	AM	10102018	203.0	74º F Muggy & cloudy			Humans, Dogs, Crickets	Calm		1	3	37.0
15C	PM	10172018	249.0	got dark very suddenly	Some		mouse, Rats, Other birds	Calm		1	5	40.0
15D	PM	10172018	163.0	61º F, partly cloudy, then some showers	Some		Humans, Birds, Mouse, Rat	Calm		1	6	31.0
15E	AM	10132018	132.0	47º F, raining			Humans	Calm		1	4	20.0
15E	PM	10082018	203.0	64º F, cloudy	Some		Humans	Moderate		1	11	33.0
15F	PM	10102018	60.0	80º F Sunny			Humans, Dogs	Busy		1	7	29.0
15F	AM	10072018	145.0	73º F, Cloudy			Humans, Dogs	Calm		1	10	30.0
15G	AM	10082018	67.0	damp, misty, cloudy	Some		Humans, Dogs	Busy		1	6	23.0
15G	PM	10192018	138.0	60º F, Mostly Sunny + Slightly Breezy	Some		Humans, Dogs, Small birds	Calm		1	12	23.0
15H	AM	10132018	97.0	49º F, light rain, cloudy			Humans, Dogs, Bluebird, Chickadees	Calm		1	3	27.0
15H	PM	10082018	244.0	67º F, overcast, light breeze			Humans, Dogs	Calm		1	7	21.0
15I	AM	10082018	67.0	damp, humid, cloudy, dreary, misty, not raining, moist	Some		Humans, Dogs, Sparrows, Crickets, Blue jay	Busy		1	6	29.0
16A	AM	10132018	28.0	rainy			Humans, Dogs	Calm		1	2	23.0
16A	PM	10192018	88.0	58º F, Partly Cloudy			Humans, Dogs, Sparrows	Calm		1	7	20.0
16B	PM	10172018	206.0	cool, windy			Humans, Dogs, Birds	Busy		1	2	
16B	AM	10142018	209.0	50º F, sunny			Humans, Dogs	Busy		1	2	19.0
16C	PM	10182018	1.0	51º F, Dry and Clear	Some		Humans, Birds (unknown), Chipmunk	Busy		1	3	24.0
16C	AM	10142018	172.0	50º F, partly cloudy	Some		Humans, Dogs	Calm		1	4	43.0
16D	PM	10102018	203.0	76º F, Sunny, occasional breezes			Humans, Dogs, Butterflies	Moderate		1	13	28.0
16D	AM	10072018	254.0	70º F, Cloudy	Abundant		Humans	Calm		1	6	21.0
16E	AM	10142018	35.0	50º F, sunny	Abundant		Humans, Dogs, Yoga Class	Calm		1	10	40.0
