Hectare	Shift	Date	Anonymized Sighter	Sighter Observed Weather Data	Litter	Litter Notes	Other Animal Sightings	Hectare Conditions	Hectare Conditions Notes	Number of sighters	Number of Squirrels	Total Time of Sighting
16E	PM	10182018	267.0	48º F, Partly Cloudly	Some		Humans	Busy		1	10	35.0
16F	PM	10132018	85.0	55º F, clouds	Some		Humans, Dogs, Raccoon (Dead)	Busy		1	6	46.0
16F	AM	10082018	149.0	68º F, moist	Some		Humans	Calm		1	3	30.0
16G	AM	10102018	37.0	70º F Muggy and partly cloudy			Humans, Dogs, Sparrows	Busy		1	5	20.0
16G	PM	10172018	104.0	62º F, sunny, light breeze	Some		Humans, Dogs	Busy		1	1	25.0
16H	AM	10072018	172.0	72º F, Overcast			Humans, Dogs	Calm	Calm, but lots of dogs	1	1	20.0
16I	AM	10082018	149.0	70º F, moist	Some		Humans	Calm		1	4	25.0
17A	PM	10132018	141.0	50s, sunny			Humans	Busy		1	3	20.0
17A	AM	10172018	255.0	Low 50s, cool & sunny	Some		Humans, Dogs, Pigeons, other Birds	Busy		1	1	25.0
17B	PM	10122018	29.0	60º F, Breezy			Humans, Dogs, Mouse or Baby Rat	Busy		1	3	22.0
17B	AM	10102018	166.0	73º F, Sunny			Humans, Dogs, Pigeons	Busy		1	3	20.0
17C	PM	10132018	141.0	50s, sunny			Humans	Busy		1	5	25.0
17D	PM	10082018	184.0	66º F, misty, cloudy , humid			Humans	Calm		1	0	10.0
17D	AM	10082018	184.0	67º F, misty, cloudy, humid			Humans, Dogs	Calm		1	7	20.0
17E	PM	10182018	178.0	73º F	Some		Humans, Cats	Moderate	Partially blocked due to contruction	1	3	20.0
17E	AM	10172018	247.0	55º F, Sunny			Birds, Ducks	Calm		1	11	35.0
17F	PM	10202018	128.0	61º F, Clear Sky			Humans			1	6	
17F	AM	10072018	173.0	70º F, Cloudy			Humans, Dogs	Moderate		1	7	50.0
17G	AM	10182018	76.0	40º F, Windy, Clear	Some		Humans, Dogs	Busy		1	1	24.0
17G	PM	10172018	104.0	62º F, Sunny, light breeze & light sprinkle later on			Humans, Dogs, Other birds	Busy		1	4	25.0
17H	PM	10072018	87.0	79º F, Cloudy			Humans, Dogs	Busy		1	2	20.0
17H	AM	10102018	255.0	70º F, Humid and partly sunny	Some		Humans, Dogs, Robin	Moderate		1	0	25.0
17I	PM	10172018	202.0	62º F, cloudy, windy	Abundant		Humans, Dogs, Pigeons, Cats	Busy		1	1	20.0
17I	AM	10142018	230.0	49º F, calm & crisp	Some		Humans, Dogs	Busy	With street noise	1	4	27.0
18A	PM	10182018	69.0	49º F, Clear	Some		Dogs, Robins, Mourning Dove, Sparrow	Busy		1	1	20.0
18A	AM	10122018	211.0	58º F, cloudy, very windy	Some		Humans, Dogs, Robins, Blue jays	Calm		1	2	30.0
18B	PM	10182018	95.0	Sunny, Windy, Cool						1	0	30.0
18B	AM	10172018	247.0	57º F, sunny				Calm		1	0	20.0
18C	PM	10182018	95.0				Humans, Dogs	Busy		1	9	40.0
18C	AM	10182018	224.0	40º F, Cold, Sunny, Windy			Humans, Dogs, Birds (lots)	Moderate		1	2	20.0
18D	PM	10172018	138.0	63º F, mostly sunny, off-&-on windy	Some		Humans, Dogs, Small birds	Calm		1	1	20.0
18E	PM	10062018	114.0	65º F, drizzly			Humans, Dogs	Busy		1	1	21.0
18E	AM	10122018	211.0	58º F, cloudy, very windy			Humans, Dogs, Robins (Many)	Calm		1	0	23.0
18G	PM	10132018	203.0	49º F, breezy, partly cloudy			Humans, Dogs			1	4	20.0
18H	PM	10142018	201.0	58º F, cool			Humans	Busy		1	3	20.0
18H	AM	10182018	239.0	44º F, Sunny, Clear Sky, Gusty			Humans	Calm		1	2	25.0
18I	AM	10172018	37.0	50º F, sunny	Abundant		Humans, Dogs	Calm		1	3	20.0
18I	PM	10072018	220.0	79º F, Partly Cloudy			Humans, Dogs, Pigeons	Busy		1	9	20.0
19A	PM	10132018	13.0	~Low 50s, cold, partly cloudy, sunshine	Some	1 reusable bag	Humans, Dogs, Sparrows, Blue Finch-like Birds, Robins, Blackbirds	Busy		1	6	26.0
19A	AM	10132018	209.0	50º F, rain				Calm	Calm (in Park), Traffic	1	0	18.0
19B	AM	10192018	148.0	46º F	Some		Humans, Dogs, Birds, but less Robins, Sparrows, Crows, Sterlings, Doves	Busy		1	2	25.0
19C	AM	10192018	148.0	46º F, Sunny Breezy	Some		Humans, Dogs, Robins, starling, Mourning dove, Finches, Sparrows	Busy		1	0	25.0
19D	AM	10072018	252.0	69º F			Humans, Dogs	Busy	Busy on path	1	2	20.0
19D	PM	10082018	266.0	68º F, misty			Humans, Blue jays, Cardinals, Sparrows, Titmice	Moderate		1	3	20.0
19E	PM	10182018	69.0	49º F, Clear			Dogs	Calm		1	5	30.0
19E	AM	10072018	252.0	69º F, Cloudy. A bit humid			Dogs	Busy	Busy on suncuncting(?) path	1	0	20.0
19F	PM	10172018	151.0	63º F, windy, cloudy			Humans, Dogs	Calm		1	7	30.0
19F	AM	10072018	173.0	29º C, Cloudy			Dogs	Calm		1	3	50.0
19G	AM	10182018	17.0	43º F, Sunny	Some		Humans, Dogs	Busy		1	0	25.0
19G	PM	10172018	202.0	62º F, Partly Cloudy, very windy (attacked by flying leaves kind)			Humans, Dogs	Busy		1	3	24.0
19H	AM	10102018	255.0	70º F, Humid and cloudy			Humans, Dogs	Moderate		1	5	20.0
19I	PM	10172018	151.0	63º F, Breezy, Sunny			Humans, Pigeons	Busy		1	0	20.0
19I	AM	10172018	166.0	51º F, sunny, windy			Humans, Dogs	Busy		1	0	20.0
20A	PM	10172018	138.0	63º F, sunny then cloudy, wind gusts, a few raindrops	Some		Humans, Dogs, Small birds	Calm		1	1	23.0
20A	AM	10102018	166.0	73º F, Cloudy and humid	Some		Humans, Dogs, Pigeons, Birds	Calm		1	2	20.0
20B	PM	10132018	13.0	Low 50s, cold	Some	1 piece of plastic	Humans, Dogs, Pigeons, Robins, Blackbirds, Sparrows	Busy		1	10	22.0
20B	AM	10072018	82.0	70º F, Drizzly. Overcast.			Humans, Robin, Seagulls - lots flying high.	Calm		1	3	20.0
20C	AM	10182018	94.0	Sunny, Blue Sky			Humans, Dogs, Small birds	Busy		1	0	23.0
20C	PM	10182018	178.0	76º F, Sunny			Humans, Dogs	Busy		1	9	25.0
20D	PM	10142018	45.0	57º F, overcast			Humans, Dogs	Busy	Great lawn, (2/3 of this hectare fenced off for the season)	1	1	20.0
20D	AM	10072018	82.0	70º F			Humans, Dogs, Pigeons, Seagulls (3), Butterfly	Busy		1	2	25.0
20E	AM	10142018	132.0	49º F, sunny			Humans, Dogs, Jays	Busy	Lots of dogs off leash	1	2	20.0
20F	PM	10072018	132.0	78º F, Humid. Sunny. Filtered by trees			Humans, Dogs, Sparrows, Robins	Moderate		1	14	20.0
20F	AM	10142018	230.0	49º F, calm & crisp	Some		Humans, Dogs, Small birds	Busy		1	3	23.0
20G	AM	10182018	17.0	43º F, Partly Sunny, Breezy	Some		Humans, Hawks, Dogs	Busy		1	3	30.0
20G	PM	10132018	78.0	54º F, cloudy			Humans, Dogs, Pigeons, Robins	Busy		1	3	20.0
20H	PM	10132018	203.0	49º F, partly cloudy			Humans, Dogs	Calm		1	0	23.0
20H	AM	10142018	240.0	55º F, partly sunny				Busy	Construction site: no access until 2022	1	0	22.0
20I	PM	10182018	70.0	40º F, Sunny, Windy			Humans, Dogs, Pigeons	Busy		1	0	19.0
20I	AM	10172018	166.0	51º F, sunny, windy			Humans, Dogs	Busy		1	0	20.0
21B	PM	10172018	194.0	77º F, with some breeze	Some		Humans, Pigeons, Birds	Busy	Kids playing soccer	1	5	20.0
21C	AM	10142018	216.0	54º F, partly cloudy	Some		Humans, Dogs	Busy		1	5	23.0
21D	PM	10082018	266.0	68º F, misty	Some		Humans, Dogs, Chimney swifts, Blue jay	Busy		1	6	20.0
21E	PM	10122018	16.0	61º F, sunny			Bird	Calm	Empty, Roped Off	1	2	22.0
21E	AM	10172018	255.0	low 50s, cool & sunny			Humans, Dogs, Pigeons	Calm		1	3	20.0
21F	PM	10182018	76.0	50º F, Light wind, Clear	Some		Humans, Dogs	Busy		1	3	25.0
21F	AM	10182018	166.0	44º F, Sunny, Windy			Humans, Dogs, Robins	Busy		1	8	20.0
21G	PM	10072018	87.0	79º F, Some clouds			Humans, Dogs	Busy		1	4	25.0
21G	AM	10142018	240.0	55º F, partly sunny	Some		Humans, Dogs, Sparrows	Busy		1	7	25.0
21H	AM	10172018	37.0	50º F, Sunny	Some		Humans, Dogs	Busy		1	2	20.0
21H	PM	10182018	267.0	52º F, Clear, Windy	Some		Humans, Woodpecker	Calm		1	4	15.0
21I	AM	10182018	37.0	44º F, Sunny	Abundant		Humans, Dogs, Pigeons	Calm, Busy	Busy near street, near empty on the playground.	1	0	20.0
21I	PM	10132018	205.0	55º F, partly cloudy (sundown)	Some		Humans, Dogs, Sparrows, Migratory birds (a distant V of 30-40 going south)	Busy		1	0	20.0
22A	PM	10172018	194.0	75º F, with some breeze			Humans, Dogs	Busy	A lot of traffic noise	1	3	25.0
22B	AM	10132018	2.0	~58º F, wet, drizzle	Some		Humans, Dogs	Calm		1	5	30.0
22B	PM	10142018	75.0	50º F, Cloudy	Some		Humans, Dogs, Woodpecker, Blue jay, Robins	Busy		1	7	20.0
22C	AM	10132018	209.0	50º F, rain			Humans, Dogs	Calm		1	3	17.0
22D	PM	10122018	16.0	61º F, sunny			Humans, Pigeons, Sparrows	Calm, Busy		1	7	26.0
22D	AM	10082018	184.0	67º F, misty, cloudy, humid			Humans, Dogs	Calm		1	0	35.0
22E	PM	10142018	75.0	50º F				Calm		1	2	20.0
22E	AM	10182018	224.0	40s, Cold, Sunny, Windy			Humans, Dogs, Birds	Calm		1	0	20.0
22F	PM	10142018	201.0	58º F, cool			Humans	Busy		1	8	20.0
22G	AM	10182018	76.0	40º F, Windy, Clear			Humans, Dogs	Medium		1	5	24.0
22G	PM	10182018	215.0	53º F, Sunny	Some		Humans, Dogs, Birds	Busy		1	3	25.0
22H	AM	10182018	37.0	44º F, Sunny, Windy			Humans, Dogs, Pigeons	Busy		1	0	20.0
22H	PM	10072018	132.0	78º F, More overcast	Some		Humans, Dogs, Rats, Sparrows	Busy		1	4	20.0
22I	PM	10132018	78.0	55º F, partly cloudy	Some		Humans, Dogs, Pigeons, Birds (galore: House sparrows, House finch, Blue jay, etc.)	Busy		1	0	20.0
23A	AM	10182018	94.0	Sunny			Humans, Dogs	Calm		1	5	25.0
23B	PM	10122018	29.0	60º F, Breezy			Humans, Dogs, Robins, Jays	Busy		1	7	26.0
23B	AM	10192018	57.0	48º F, Chilly, Mild			Humans, Dogs, Falcons	Moderate		1	0	24.0
23C	PM	10142018	45.0	57º F, overcast	Some		Humans, Dogs, Horse (saw droppings)	Busy	Lots of foot and bike traffic on paths	1	4	21.0
23C	AM	10192018	57.0	48º F, Chilly, Mild			Humans, Dogs, Falcons	Busy	Noisy	1	1	23.0
23D	AM	10132018	2.0	~56º F, drizzle			Humans, Dogs, Ducks	Busy		1	1	25.0
23E	AM	10142018	216.0	54º F, partly cloudy	Some		Humans, Dogs, Birds	Busy		1	0	27.0
23E	PM	10062018	265.0	drizzling, cloudy	Some		Humans, Dogs, Pigeons, Small birds	Calm		1	1	35.0
23F	AM	10182018	166.0	44º F, Sunny, Windy			Humans, Dogs, Sparrows, Crows, Cardinal	Busy		1	1	20.0
23F	PM	10132018	205.0	55º F, partly cloudy (with sun)	Some		Humans, Dogs, Blue Jay, Rat, Bee, Sparrow	Moderate	Busy near gate house, quiet on and south of Transverse, reservoir path medium	1	4	
23G	AM	10182018	239.0	44º F, Sunny, Clear Sky, Windy (Gusts(	Some		Humans, Few and calls of larger birds, but not visible	Busy		1	0	25.0
23H	PM	10192018	45.0	60º F, Partly Cloudy	Some		Humans, Dogs	Calm, Busy	Busy on Running Path	1	1	17.0
23H	AM	10142018	240.0	55º F, partly sunny	Some		Humans, Dogs, Runners	Busy		1	0	17.0
23I	AM	10192018	23.0	46º F, Sunny, no clouds			Humans, Dogs, Small birds	Busy		1	1	45.0
23I	PM	10192018	45.0	60º F, Partly Cloudy			Humans, Dogs, Ducks	Busy	Busy	1	3	25.0
24A	AM	10142018	170.0	50º F, Sunny, Clear			Humans, Dogs	Busy	5k	1	2	25.0
24B	PM	10102018	65.0	70s, sunny, humid	Some		Humans, Dogs, Birds	Busy		1	0	20.0
24B	AM	10132018	243.0	50º F, rain, very cloudy			Humans, Dogs, Birds	Busy		1	1	30.0
24C	AM	10102018	104.0	73º F, Vaguely sunny			Pigeons, Other birds	Busy		1	0	35.0
24C	PM	10172018	115.0	62º F, sunny, windy						1	0	25.0
24I	AM	10192018	250.0	45º F, Sunny, Windy	Some		Humans, Dogs	Busy		1	1	30.0
25A	AM	10132018	243.0	50º F, drizzle, light rain, overcast			Humans, Dogs, Other Birds	Busy	Busy (road)	1	5	40.0
25B	AM	10142018	28.0	Partly cloudy			Humans, Dogs, Warblers			1	0	
25B	PM	10072018	41.0	80º F, Sunny. Humid.			Humans	Busy		1	2	20.0
25I	PM	10072018	155.0	Humid	Some			Busy		1	8	45.0
25I	AM	10122018	204.0	60º F, windy			Humans, Dogs, Pigeons, Song birds	Calm		1	3	35.0
26A	AM	10142018	248.0	51º F, Mostly Cloudy, Light Breeze			Humans, Dogs	Busy		1	2	20.0
26B	AM	10102018	104.0	70º F Humid and cloudy			Humans, Dogs, Pigeons	Busy		1	1	30.0
26B	PM	10172018	250.0	62º F, sunny, windy	Some		Humans, Dogs, Pigeons, Ducks	Busy		1	0	20.0
26I	PM	10102018	211.0	79º F, Part sunny	Some		Humans, Dogs	Busy		1	6	20.0
26I	AM	10102018	224.0	73º F, Partly cloudy, muggy, occasional cool breeze	Some		Humans, Dogs, Seagull	Busy		1	2	26.0
27A	AM	10082018	97.0	65º F, overcast, cloudy, light drizzle	Some		Humans, Dogs, Chickadees	Calm		1	2	25.0
27A	PM	10062018	265.0	drizzling cloudy			Humans, Pigeons	Busy		1	1	32.0
27B	AM	10142018	170.0	49º F, Sunny, Clear	Some		Humans, Dogs, Birds	Busy	5k race	1	0	23.0
27C	AM	10142018	248.0	53º F, mostly sunny, calm			Humans, Turtle (in water)	Busy		1	0	5.0
27C	PM	10122018	250.0	61º F, sunny, windy			Humans	Busy		1	0	20.0
27I	AM	10072018	102.0	Cool			Butterfly	Busy	Heavy human congestion	1	4	42.0
28A	PM	10072018	40.0	80º F, Overcast. Humid.	Abundant		Humans, Dogs, Birds	Busy		1	5	20.0
28A	AM	10142018	124.0	50º F, Sunny & Cloudy	Some			Calm		1	1	25.0
28B	AM	10072018	122.0	71º F, Overcast. Breezy	Some		Humans, Dogs, Pigeons	Busy		1	1	25.0
28B	PM	10102018	161.0	79º F, Humid, sunny	Some		Humans, Dogs, Pigeons	Busy		1	2	30.0
28C	AM	10142018	242.0	50ish, sunny, calm			Humans, Dogs, Song birds	Busy		1	2	22.0
28C	PM	10062018	257.0							1	2	20.0
28D	PM	10192018	219.0	59º F, P/Cloudy, Light Wind	Some		Humans, Dogs, Pigeons, Sparrows, Robins, Grackles	Busy		1	2	20.0
28D	AM	10122018	250.0	59º F, windy			Humans, Dogs, Robins, Blue jay	Busy		1	6	21.0
28I	PM	10072018	170.0	78º F			Humans, Dogs, Birds	Busy		1	1	26.0
28I	AM	10132018	230.0	50º F, overcast, wet, light rain			Humans, Dogs	Busy		1	1	24.0
29A	PM	10192018	242.0	59º F, Sunny	Some		Humans, Dogs, Birds	Busy		1	3	20.0
29A	AM	10132018	248.0	50º F, light rain, calm	Some		Humans, Dogs	Busy		1	1	25.0
29B	PM	10102018	65.0	70s, Sunny, humid			Humans, Dogs, Birds	Busy		1	5	25.0
29B	AM	10072018	170.0	70º F, Overcast. Moist.	Some		Humans, Dogs, Robins	Busy		1	2	20.0
29C	PM	10062018	9.0	Cool, cloudy & light drizzle			Humans, Dogs, Song birds	Busy		1	2	23.0
29C	AM	10072018	122.0	70º F	Some		Humans, Dogs, Pigeons	Calm		1	6	20.0
29D	AM	10142018	28.0							1	6	
29D	PM	10102018	250.0	77º F, Sunny			Humans, Dogs	Busy		1	2	20.0
29E	AM	10172018	19.0	51º F, clear & sunny	Some		Humans, Unknown birds	Busy		1	0	22.0
29E	PM	10062018	155.0	Misty, Rain, Cool			Humans, Dogs	Moderate	Tennis courts and joggers	1	0	20.0
29H	PM	10062018	56.0	65º F, Foggy	Some		Humans, Ducks	Calm		1	2	22.0
29H	AM	10132018	230.0	50º F, drizzle, overcast	Some		Humans (runners), Dogs (1 off-leash), Seagulls?	Calm		1	0	20.0
29I	PM	10072018	200.0	80º F, Overcast	Some		Humans, Dogs, Pigeons, Cats	Busy		1	1	26.0
29I	AM	10192018	250.0	45º F, Sunny, Windy	Some		Humans, Dogs, Hummingbird??	Busy		1	0	20.0
30A	AM	10102018	18.0	22º C, Cloudy and bright			Humans, Dogs, Pigeons, Midges	Busy		1	1	25.0
30A	PM	10202018	250.0	62º F, Sunny	Some		Humans, Dogs	Busy		1	4	20.0
30B	PM	10192018	19.0	59º F	Some		Humans, Dogs, Birds (Other)	Busy		1	9	22.0
30B	AM	10072018	170.0	70º F, Overcast. Moist.	Some		Humans, Dogs, Assorted Birds	Busy		1	12	20.0
30C	PM	10082018	122.0	65º F, misting	Abundant		Humans, Dogs	Busy		1	1	20.0
30C	AM	10142018	124.0	50º F, Cloudy			Humans, Dogs	Busy		1	2	21.0
30D	PM	10072018	40.0	80º F, Sunny. Humid.			Humans, Dogs, Lots of Birds	Busy		1	0	20.0
30D	AM	10172018	60.0	51º F, sunny			Humans, Dogs	Busy		1	2	30.0
30E	AM	10082018	97.0	66º F, drizzle, overcast			Humans, Dogs, Pigeons	Busy		1	3	28.0
30E	PM	10082018	122.0	65º F, misting	Some		Humans, Dogs, Pigeons	Busy		1	1	23.0
30F	PM	10072018	200.0	80º F, Overcast			Humans, Dogs, Pigeons			1	1	20.0
30F	AM	10192018	242.0	30º F			Humans, Dogs	Busy		1	0	20.0
30G	AM	10132018	170.0	50º F, cold, drizzly, overcast			Humans, Blue jay	Busy		1	0	20.0
30G	PM	10102018	211.0	76º F, Sunny, breezy			Humans, Dogs	Busy		1	0	20.0
30H	AM	10072018	102.0	Muggy, but cool. Sprinkling.				Busy		1	3	20.0
30I	AM	10132018	17.0	49º F, rain showers, calm						1	0	35.0
31A	AM	10102018	18.0	25º C, Sunny with clouds	Some		Humans, Dogs, Blackbird and other birds	Calm		1	5	25.0
31A	PM	10172018	250.0	62º F, sunny, windy	Some		Humans, Dogs, Pigeons, Sparrows	Busy		1	4	20.0
31B	PM	10072018	41.0	80º F, Overcast. Humid.	Some			Busy		1	4	20.0
31B	AM	10172018	60.0	51º F, sunny, windy			Humans, Dogs	Busy		1	3	30.0
31C	AM	10172018	19.0	49º F, clear & sunny	Some		Humans, Dogs, Falcons, unknown bird	Calm		1	1	24.0
31C	PM	10102018	250.0	79º F, Sunny	Some		Humans, Dogs, Robins	Calm		1	3	20.0
31D	PM	10062018	126.0	65º F, dew point 62º F,  misty, light wind	Some		Humans, Dogs	Calm		1	4	22.0
31D	AM	10142018	243.0	50º F, Calm, Fair Sky - Sunny	Some		Humans, Dogs	Busy		1	7	30.0
31E	AM	10142018	67.0	49º F, Partly Cloudy, Chilly	Some		Humans, Hawks, Dogs	Calm		1	1	25.0
31E	PM	10062018	126.0	65º F, 62º F, dewpoint, light wind, misty	Some		Humans, Dogs	Calm		1	9	20.0
31F	PM	10072018	155.0	Humid	Some		Humans, Dogs, Pigeons	Calm		1	5	25.0
31F	AM	10132018	170.0	50º F, cold, drizzly, overcast, calm			Humans, Dogs, Birds	Calm		1	1	25.0
31G	PM	10072018	170.0	78º F, Overcast			Humans, Dogs, Birds	Calm		1	1	26.0
31G	AM	10192018	242.0	46º F,  Windy, Shady	Abundant		Humans, Dogs	Busy		1	0	20.0
31H	AM	10132018	17.0	50º F, cloudy, calm			Humans, Dogs, Sparrows, Jays	Busy		1	0	20.0
31H	PM	10082018	217.0	drizzling			Humans	Busy		1	5	25.0
31I	AM	10122018	204.0	60º F, windy, cloudy			Humans, Dogs, Pigeons	Busy		1	0	20.0
31I	PM	10192018	219.0	58º F, P Cloudy	Some		Humans, Dogs	Busy		1	4	20.0
32A	AM	10182018	247.0	44º F, Sunny, Breezy			Humans, Hawks, Dogs	Moderate		1	5	20.0
32A	PM	10132018	258.0							1	9	23.0
32B	AM	10172018	40.0	50º F, clear/sunny	Some		Humans, Dogs, other Birds	Busy		1	4	20.0
32B	PM	10102018	125.0	81º F, Sunny			Humans, Dogs, Chipmunk	Busy		1	6	35.0
32C	AM	10142018	67.0	51º F, Partly Cloudy	Abundant		Humans, Dogs	Calm		1	6	22.0
32C	PM	10132018	171.0	60º F, partly sunny			Humans, Dogs	Calm		1	13	25.0
32D	PM	10062018	212.0	65º F, cloudy			Humans, Dogs, Small birds	Moderate		1	9	20.0
32E	PM	10172018	125.0	61º F, cloudy	Some		Humans, Dogs	Busy		1	16	25.0
32E	AM	10072018	154.0	70º F, Overcast. Slight mist.			Humans, Dogs	Calm		1	14	20.0
32F	PM	10082018	104.0	66º F, cloudy	Some		Humans, Dogs	Busy		1	8	30.0
32F	AM	10122018	114.0	59º F, partly cloudy, windy			Humans, Dogs	Calm		1	7	18.0
32G	PM	10132018	222.0	56° F, partly cloudy	Some	1 plastic bag	Humans (lots of bikers), Dogs, Small birds	Busy		1	3	21.0
32G	AM	10102018	264.0	73º F			Humans, Hawks, Dogs	Calm		1	2	25.0
32H	PM	10062018	81.0	65º F, cloudy	Some		Humans	Calm		1	3	30.0
32H	AM	10102018	223.0	72º F, Overcast			Humans, Dogs, Other Song birds	Moderate		1	1	22.0
32I	AM	10132018	61.0	49º F, light rain			Humans, Dogs	Calm		1	6	50.0
32I	PM	10072018	183.0	81F Partly cloudy. Humid.			Humans, Dogs	Busy		1	3	
33A	PM	10182018	244.0	Clear Skies, Breezy	Some		Humans, Dogs, Song birds	Calm		1	4	26.0
33B	PM	10102018	125.0	81º F, Sunny			Humans	Busy		1	12	27.0
33B	AM	10102018	199.0	70º F, Nice, overcast			Humans, Dogs	Calm		1	6	30.0
33C	PM	10072018	81.0	78º F, Cloudy	Some		Humans, Dogs, Birds	Busy		1	4	20.0
33C	AM	10122018	104.0	59º F, mostly cloudy, windy (sunny by 9:30)			Humans, Dogs	Calm		1	2	25.0
33D	PM	10062018	35.0	65º F, Overcast Drizzly			Humans	Busy	Active Tennis and use of fields	1	3	30.0
33D	AM	10172018	40.0	51º F, clear, sunny, breezy			Humans	Calm		1	9	20.0
33E	AM	10142018	10.0	50º F, mostly sunny			Humans, Dogs, Birds, Humans playing tennis	Calm	Except the tennis court was loud	1	13	20.0
33E	PM	10122018	250.0	61º F, sunny, windy	Some		Humans, Dogs, Sparrows, Woodpecker	Busy		1	9	21.0
33F	PM	10122018	19.0	60º F, sunny, clear			Humans, Dogs, Warbler (Internet says magnolia warbler), Unknown grey/brown bird	Calm		1	6	27.0
33F	AM	10082018	233.0	65º F, drizzling			Humans, Dogs, blue jay	Calm		1	2	25.0
33G	PM	10062018	41.0	Calm	Some			Calm		1	2	20.0
33G	AM	10132018	145.0	50º F, light rain			Humans, Dogs, Small birds	Busy		1	3	22.0
33H	AM	10192018	114.0	46º F, Sunny, Breezy			Humans, Dogs	Calm		1	2	20.0
33H	PM	10122018	248.0	61º F, clear, breezy	Some		Humans, Hawks, Dogs	Busy		1	0	25.0
33I	PM	10062018	81.0	65º F, drizzling	Some		Humans, Dogs	Calm		1	9	25.0
33I	AM	10082018	233.0	66º F, Drizzly	Some		Humans, Dogs, Rat	Calm		1	5	30.0
34A	AM	10122018	104.0	59º F, windy, sunny			Humans, Dogs, Pigeons, Birds (Assorted)	Calm		1	3	25.0
34A	PM	10132018	171.0	60º F (?), partly cloudy			Humans, Dogs	Calm		1	5	21.0
34B	PM	10072018	81.0	78º F, Cloudy	Some		Humans, Dogs	Busy		1	1	30.0
34C	PM	10122018	77.0	61º F, sunny, light breeze			Humans, Dogs	Calm	People on path, not in fields	1	4	23.0
34C	AM	10072018	154.0	70º F, Overcast				Calm		1	2	22.0
34D	PM	10072018	1.0	80º F, Humid. Overcast.			Humans, Dogs	Busy		1	3	26.0
34E	PM	10062018	212.0	65º F, Drizzle			Humans, Dogs, Falcons, Small birds	Calm		1	2	25.0
34E	AM	10182018	247.0	45º F, Brisk						1	0	20.0
34F	AM	10072018	10.0	70º F, Overcast			Humans, Dogs, Butterflies, Birds with red chest	Calm		1	1	20.0
