Hectare	Shift	Date	Anonymized Sighter	Sighter Observed Weather Data	Litter	Litter Notes	Other Animal Sightings	Hectare Conditions	Hectare Conditions Notes	Number of sighters	Number of Squirrels	Total Time of Sighting
34F	PM	10122018	35.0	clear blue sky, breezy, getting cold	Some		Humans, Dogs	Calm		1	1	30.0
34G	PM	10062018	46.0	drizzling	Some		Humans, Dogs, Many Small birds	Calm		1	2	20.0
34G	AM	10182018	60.0							1	0	
34H	PM	10062018	46.0	sprinkling	Some		Humans, Dogs, Children in costume	Calm		1	7	20.0
34H	AM	10072018	237.0	76º F, Cloudy	Some		Humans, Dogs, Pigeons, Robins, Woodpeckers	Busy		1	1	25.0
34I	PM	10102018	42.0	77-80º F	Some			Calm		1	7	47.0
34I	AM	10122018	114.0	59º F, misty, windy	Some		Humans	Busy		1	4	20.0
35A	AM	10142018	10.0	50º F, mostly sunny			Humans, Dogs, Birds		Some dogs off leashes next to roads	1	8	22.0
35A	PM	10132018	81.0	54º F, partly cloudy			Humans, Dogs	Calm		1	12	20.0
35B	PM	10132018	45.0	56° F, Partly Cloudy			Humans, Dogs, Rats, Ducks, Canada Geese	Calm	Foot traffic on the path	1	7	28.0
35B	AM	10102018	223.0	73º F, Cloud/Overcast, beginning to clear, humid			Humans, Dogs, Sparrows	Calm		1	4	22.0
35C	AM	10072018	209.0	70º F, Overcast			Humans, Dogs	Busy		1	6	21.0
35C	PM	10132018	248.0	56° F, Partly Cloudy, Breeze			Humans, Dogs	Busy		1	8	23.0
35D	AM	10192018	186.0	45º F, Sunny, Windy			Humans, Dogs, Birds, No Pigeons	Busy	Chainsaw in distance, park golf carts zipping around, joggers	1	2	20.0
35D	PM	10132018	258.0							1	9	23.0
35E	PM	10062018	35.0	68º F, Overcast Misty	Some		Humans, Dogs	Busy		1	7	30.0
35E	AM	10202018	114.0	55º F, Overcast, Breezy	Some		Humans, Hawks, Dogs	Calm		1	4	21.0
35F	PM	10122018	19.0	61º F, sunny, clear			Humans, Hawks, Dogs, Blue jay	Calm		1	3	27.0
35F	AM	10072018	237.0	74º F, Cloudy	Some		Humans, Dogs	Busy		1	1	1.0
35G	AM	10072018	10.0	70º F, Overcast	Some		Humans, Dogs, Birds.	Busy		1	2	20.0
35G	PM	10062018	196.0	64 F Cloudy & misty				Moderate		1	1	20.0
35H	AM	10132018	61.0	49º F, light rain			Humans, Dogs	Calm		1	2	23.0
35H	PM	10122018	248.0	61º F, clear sky, breezy			Humans, Dogs	Busy		1	0	25.0
35I	PM	10062018	41.0	68º F, misty, humid	Some		Humans, Dogs, Field mouse, Chipmunk	Calm	Hilly, rocky terrain	1	2	20.0
35I	AM	10132018	145.0	50º F, light rain	Some		Humans, Dogs, Small birds	Calm	Calm in hectare, but cars on [road]	1	1	23.0
36A	AM	10182018	2.0	45º F, Brisk, Clear			Humans, Dogs, Birds, Sparrows	Calm		1	2	23.0
36A	PM	10132018	243.0	56º F, mostly sunny, very slight breeze	Some		Humans, Dogs, Pigeons, Chipmunk (?), Crickets	Busy	Busy (bypassers)	1	9	67.0
36B	AM	10132018	41.0	50º F, rainy	Some		Humans, Dogs, Ducks	Calm		1	4	23.0
36B	PM	10132018	81.0	54º F, partly cloudy			Humans, Birds (lots of screeching, not sure what kind of birds)	Calm		1	5	20.0
36C	PM	10132018	45.0	56° F, Partly Cloudy			Humans, Dogs, Dogs (on path), Ducks & Geese (in pool)	Calm, Busy	Busy on West Dr	1	6	25.0
36C	AM	10142018	243.0	50º F, Calm, Fair, Sunny			Humans, Birds	Calm, Busy	Calm in woods, busy outside with fund walk	1	4	40.0
36D	PM	10072018	1.0	81º F, Humid. Overcast.	Some		Humans, Dogs, Turtle, Chipmunks	Calm		1	2	32.0
36D	AM	10072018	209.0	70º F, Overcast	Some		Humans, Dogs, Chipmunks	Calm		1	1	34.0
36E	AM	10132018	41.0	50º F, rainy			Humans, Dogs, Chipmunk	Moderate	Lots of runners	1	3	20.0
36E	PM	10122018	77.0	61º F, sunny, light breeze	Some		Humans, Dogs, Rat	Calm	People on path	1	2	25.0
36F	PM	10122018	35.0	61º F, no clouds, clear sky, breeze			Humans, Robin	Busy		1	7	25.0
36F	AM	10172018	183.0	50º F, sunny, clear			Humans, Dogs	Calm	Squeaky toys	1	5	20.0
36G	AM	10182018	60.0							1	0	
36G	PM	10122018	250.0	61º F, sunny, windy	Some		Humans, Dogs, Pigeons, Robins	Busy		1	2	20.0
36H	PM	10082018	104.0	66º F, foggy, drizzly			Humans, Hawks, Dogs	Busy		1	2	40.0
36H	AM	10102018	264.0	72º F, Mostly cloudy, calm			Dogs, lots of Blue jays & Gackels	Calm		1	2	26.0
36I	AM	10172018	183.0	50º F, sunny, clear	Some		Humans, Dogs, Many song birds: Wrens, Finches, Blue jays, Mourning dove	Calm	Traffic noises nearby	1	8	23.0
36I	PM	10072018	183.0	81º F, partly cloudy. Humid			Humans, Dogs, Blue jays. Robins, Sparrows	Busy		1	13	30.0
37A	AM	10122018	248.0	59º F, partly cloudy, breeze			Morning Dove, Crows	Calm		1	1	23.0
37B	AM	10182018	120.0	45º F, Clear, Cold			Humans, Dogs, Birds	Calm		1	6	25.0
37B	PM	10132018	128.0	55° F, mostly cloudy			Dogs	Calm		1	5	25.0
37C	PM	10132018	242.0	55° F, Mostly Cloudy, Cool, Breezy			Chipmunks (2)	Busy		1	5	20.0
37C	AM	10122018	248.0	59º F, mostly cloudy, windy	Some	Beer party can debris	Humans, Blue Jay, Warbler	Calm		1	4	24.0
37D	AM	10182018	2.0	45º F, Clear			Humans, Falcon, Chipmunks	Calm		1	2	31.0
37D	PM	10142018	209.0	57º F, overcast	Some		Humans, Chipmunks	Calm		1	8	26.0
37E	PM	10062018	40.0	65º F, misty overcast	Some		Humans, Chipmunks, Lots of little birds	Calm		1	9	20.0
37E	AM	10132018	252.0	50º F, light rain			Humans, Dogs, Birds	Calm		1	5	22.0
37F	AM	10102018	120.0	Overcast & humid but cool	Some		Humans, Dogs, Gull, Birds	Busy		1	1	25.0
37F	PM	10142018	243.0	59º F, overcast, SW 6 mph			Humans	Busy		1	3	24.0
37G	PM	10072018	114.0	81º F, p/c. Humid			Humans, Dogs	Busy		1	9	24.0
37H	PM	10062018	34.0	65º F, misty, overcast			Humans, Dogs	Calm	Lots of humans walking quietly	1	6	23.0
37H	AM	10182018	84.0	45º F, Very Sunny, Chilly			Humans, Dogs, Mourning doves (sic), Sparrows	Calm		1	4	27.0
37I	AM	10102018	120.0	Overcast & humid but cool			Humans, Dogs, Birds, Chipmunks	Calm		1	5	25.0
37I	PM	10062018	172.0	~65º F, Misting & Cloudy			Humans, Dogs, Chipmunks (5+)	Calm		1	2	22.0
38A	AM	10192018	186.0	45º F, Sunny Windy			Humans, Birds, No Pigeons	Busy	Traffic, lawn mowing in 39A, kids on lawn in 39.	1	5	25.0
38A	PM	10132018	210.0	55º F, partly cloudly	Some		Humans, Dogs, Pigeons	Calm		1	5	23.0
38B	AM	10192018	7.0	45º F, Sunny, Cold Breeze			Humans, Dogs			1	5	25.0
38B	PM	10182018	114.0	53º F, Sunny, Light Breeze			Humans, Hawks, Dogs	Busy	Lots of school kids	1	2	24.0
38C	AM	10192018	7.0	45º F, Sunny, Cold Breeze Wind			Humans, Dogs	Calm		1	11	25.0
38C	PM	10142018	217.0	58º F, Cloudy			Humans, Sparrows	Busy		1	10	25.0
38D	PM	10062018	40.0	65º F, Misty, overcast	Some		Humans, Small birds, Chipmunks	Moderate		1	4	20.0
38D	AM	10172018	135.0	50º F, clear, sunny			Humans, Dogs, Migratory birds	Calm		1	6	32.0
38E	AM	10102018	105.0	72º F, Bit cloudier	Some		Chipmunks	Calm		1	12	20.0
38E	PM	10142018	243.0	59º F, overcast, SW 6 mph			Humans, Chippys, Birds	Busy		1	5	35.0
38F	AM	10182018	114.0	45º F, Clear	Some		Humans, Dogs			1	6	23.0
38F	PM	10132018	222.0	56º F, partly cloudy			Humans, Small birds, Chipmunks	Calm, Busy	Only small chunk near road was busy, the rest was unoccupied	1	6	22.0
38G	PM	10202018	87.0	61º F, Sunny and Clear			Humans	Calm		1	11	25.0
38G	AM	10182018	114.0	45º F, Sunny			Humans, Dogs	Busy		1	0	20.0
38H	PM	10122018	64.0	61º F, breeze, blue sky	Abundant		Humans, Birds	Calm		1	1	30.0
38H	AM	10192018	114.0	46º F, Sunny	Some		Humans, Hawks, Dogs	Calm		1	1	22.0
38I	AM	10192018	37.0	45º F, Sunny, Breezy			Humans, So many Birds!	Calm		1	2	20.0
38I	PM	10142018	100.0	57º F, overcast	Some		Humans, Dogs, Rats, Chipmunks	Busy		1	4	25.0
39A	PM	10142018	238.0	57º F, overcast	Some		Humans, Dogs	Busy		1	3	23.0
39A	AM	10132018	252.0	50º F, light rain			Humans	Calm		1	1	20.0
42D	AM	10142018	215.0	50º F, mostly sunny	Some		Humans, Dogs, Pigeons	Busy		1	3	25.0
39B	PM	10142018	183.0	57º F, Cloudy			Humans, Hawks, Dogs, Chipmunks, Blue jays	Calm, Busy	Calm in woods, busy, music nearby w/ tambourines, chanting, just outside so. edge of hectare	1	6	20.0
39B	AM	10182018	262.0	45º F, Clear, Brisk			Humans, Dogs	Busy		1	1	26.0
39C	AM	10172018	120.0	50º F, clear, sunny			Humans, Dogs	Busy		1	4	30.0
39C	PM	10062018	196.0	64º F, Cloudy & Misty			Hawks, Chipmunk	Moderate		1	4	20.0
39D	PM	10122018	22.0	61º F, clear sky, windy	Some		Humans, Chipmunk, Warbler	Calm		1	4	32.0
39D	AM	10082018	224.0	67º F, cloudy, drizzling	Some		Humans	Calm		1	6	33.0
39E	PM	10132018	3.0	59º F, sunny, slightly cloudy	Abundant		Humans, Dogs, Birds, Chipmunks	Calm		1	2	26.0
39E	AM	10182018	120.0	45º F, Clear, Brisk	Some		Humans, Dogs, Birds	Busy		1	5	28.0
39F	AM	10142018	17.0	51º F, mostly sunny			Humans, Dogs, Chipmunks	Calm, Busy	"""no woods"""	1	5	25.0
39F	PM	10062018	34.0	65º F, misty, overcast			Humans, Dogs	Calm		1	4	21.0
39G	AM	10182018	244.0	45º F, Windy, Clear Skies	Some		Humans, Song birds	Calm		1	2	24.0
39H	PM	10132018	236.0	55° F, mostly cloudy			Humans, Hawks, Dogs	Busy		1	3	25.0
39H	AM	10072018	259.0				Humans, Dogs	Busy		1	4	
39I	AM	10192018	37.0	45º F, Sunny, Breezy			Humans, Hawks, Dogs	Calm		1	0	25.0
40A	PM	10142018	99.0	57º F, overcast			Humans			1	6	
40A	AM	10102018	105.0	72º F, Absolute perfection	Some		Robins?	Moderate	Noise pollution	1	4	25.0
40B	AM	10192018	253.0	47º F, Sunny, Breezy	Some		Humans, Dogs	Calm		1	9	40.0
40C	AM	10172018	135.0	50º F, clear, sunny			Humans, Chipmunk, migratory birds	Calm		1	7	23.0
40D	AM	10132018	40.0	50º F, light rain	Abundant		Humans (a trail runner)	Calm		1	7	20.0
40D	PM	10132018	210.0	56º F, Partly Cloudy	Abundant		Humans, Dogs, Chipmunk	Calm		1	7	27.0
40E	AM	10142018	215.0	50º F, mostly sunny	Some		Humans, Hawks, Dogs	Busy		1	4	25.0
40F	AM	10182018	84.0	45º F, Clear, Sunny			Humans, Dogs, Ducks, Mainly female mallards, Canadian geese, also Small birds Sparrows?	Calm		1	0	27.0
40F	PM	10062018	172.0	~65º F, cloudy misting	Some		Dogs	Calm		1	3	28.0
40G	AM	10072018	54.0	70º F, Overcast			Humans, Dogs, Finches	Calm		1	2	
40H	PM	10082018	49.0	overcast, dusk			Humans, Dogs, Woodpecker, Chipmunk	Calm		1	0	25.0
40H	AM	10172018	104.0	52º F, breezy, sunny			Humans, Dogs, Geese	Calm		1	2	20.0
40I	AM	10182018	27.0	45º F, Clear			Humans, Hawks, Ducks	Busy		1	2	20.0
41A	PM	10072018	30.0	81º F, Partly Cloudy	Some		Humans, Dogs, Pigeons, Chipmunks	Busy		1	6	25.0
41A	AM	10132018	40.0	50º F, light rain	Abundant		Humans, Dogs, Birds, Chipmunks	Calm		1	1	20.0
41B	PM	10142018	111.0	57º F, overcast	Some		Dogs, Chipmunks (at least 3)	Calm		1	5	45.0
41C	PM	10072018	30.0	81º F, Partly Cloudy			Humans, Birds. Chipmunks			1	4	25.0
41C	AM	10172018	120.0	50º F, clear, sunny	Abundant		Humans, Dogs, Birds	Calm		1	7	30.0
41D	PM	10142018	26.0	57º F, cloudy	Some		Humans, Hawks, Dogs, Chipmunk	Calm		1	5	30.0
41D	AM	10142018	176.0	50º F, mostly sunny	Some		Humans, Dogs	Calm		1	5	
41E	AM	10072018	114.0	71º F, o/c	Some		Humans, Dogs	Busy	Runners	1	6	25.0
41F	PM	10192018	114.0	60º F, p/c bluh			Humans			1	2	
41F	AM	10192018	183.0	45º F, Sunny, Breezy			Humans, Dogs, Geese, Mallard Nests	Calm, Busy	Started busy, then very calm	1	0	21.0
41G	PM	10142018	10.0	57º F, overcast	Some		Humans, Ducks, Birds	Calm		1	0	20.0
41G	AM	10132018	114.0	50º F, sprinkling	Some		Humans, Dogs	Calm		1	2	20.0
41H	PM	10082018	49.0	cool, overcast			Humans, Dogs, Pigeons, Turtles, Ducks, Geese			1	0	15.0
41H	AM	10172018	104.0	51º F, sunny, light breeze	Some		Humans, Dogs, Geese	Calm		1	0	30.0
41I	AM	10182018	27.0	45º F, Clear			Humans, Dogs, Pigeons	Busy		1	2	20.0
41I	PM	10172018	114.0	63º F, partly cloudy, breezy	Some		Humans, Dogs, Pigeons, Geese, Ducks	Busy		1	1	22.0
42A	PM	10142018	12.0	57º F, mostly cloudy	Some		Humans, Dogs, Sparrows	Busy	He took a 20-minute lunch break in the middle of shift.	1	1	28.0
42A	AM	10192018	253.0	45º F, Sunny Breezy	Some		Humans, Dogs, Pigeons, Rat, Chipmunk	Calm		1	1	30.0
42B	PM	10082018	134.0	64º F, cloudy, slight drizzle, humid	Some		Humans, Dogs	Busy		1	0	25.0
42C	AM	10072018	114.0	71º F			Humans, Dogs	Busy		1	4	27.0
42C	PM	10132018	128.0	55° F, mostly cloudy	Some		Humans, Dogs, Chipmunk	Busy		1	6	26.0
42D	PM	10132018	3.0	55º F, cloudy (mostly)	Abundant	On street	Humans, Dogs, Birds, Chipmunks, Rats	Calm		1	4	28.0
19H	PM	10082018	164165.0	cloudy				Calm		2	1	5.0
42E	PM	10122018	22.0	61º F, clear sky, windy	Some		Humans, Dogs, Pigeons	Busy		1	6	20.0
42E	AM	10082018	224.0	65º F, cloudy, drizzling	Abundant		Humans	Busy	Construction just outside sector	1	0	21.0
42F	AM	10192018	194.0	66º F, Calm and some Breeze	Abundant		Humans, Dogs, Geese	Busy		1	2	20.0
42G	AM	10182018	244.0	45º F, Breezy, Clear Skies			Humans, Dogs, Pigeons, other Song birds	Calm		1	3	25.0
42H	PM	10142018	39.0	57º F, overcast	Some		Humans, Dogs, Pigeons	Busy		1	5	30.0
42H	AM	10192018	194.0	66º F, Calm, Sunny	Some		Humans, Dogs, Birds	Calm		1	2	25.0
42I	PM	10142018	79.0	57º F, cloudy			Humans, Dogs, Pigeons, Sparrows	Calm		1	3	25.0
42I	AM	10192018	183.0	45º F, Sunny, Breezy			Humans, Dogs, Geese (a few)	Calm		1	0	20.0
9I	AM	10142018	145.0	54º F, mostly sunny	Some		Humans, Dogs, Pigeons, Small birds	Busy		1	9	22.0
01C	AM	10122018	225226.0	cool, sunny	Some		Humans, Dogs, Cats	Calm		2	2	30.0
01D	PM	10072018	3334.0	80º F, Cloudy			Humans, Dogs, Pigeons, Sparrows			2	7	25.0
01E	PM	10072018	3334.0	80º F, Sunny			Humans, Dogs, Pigeons,  Robins. Blue jays	Busy		2	3	20.0
01I	PM	10122018	225226.0	cold, sunny	Some		Humans, Hawks, Dogs, Pigeons, Cats	Busy		2	4	70.0
02B	PM	10132018	245246.0	54° F, Sunny, Breezy			Humans, Dogs, Pigeons, Robins, Sparrows	Calm, Busy	West Drive Busy	2	9	22.0
02B	AM	10102018	6263.0	70º F Partly cloudy	Some		Humans, Dogs, Pigeons	Busy		2	8	25.0
02C	PM	10132018	245246.0	54° F, Sunny, Breezy			Humans, Robins, Sparrows	Calm, Busy	Fenced Areas / West Drive	2	12	24.0
02F	PM	10142018	9798.0	57º F, cloudy			Humans, Dogs, Pigeons, Chickadees	Busy		2	12	23.0
03A	AM	10122018	225226.0	sunny, cool			Humans (Notes), Dogs, Cats	Calm		2	3	45.0
03B	AM	10102018	6263.0	70º F Cloudy	Some		Humans, Dogs	Busy		2	10	30.0
03F	PM	10132018	3031.0	13° C, Partly Cloudy			Humans, Dogs, Birds	Busy		2	7	20.0
03H	PM	10142018	9798.0	57º F, cloudy	Some		Humans, Dogs, Pigeons, Chickadees	Busy		2	7	25.0
04C	AM	10062018	73.0	65º F, cloudy			Humans, Dogs	Calm		2	5	20.0
04F	PM	10132018	3031.0	13° C, Partly Cloudy			Humans, Dogs, Birds, Rats (Fat), Inchworm	Busy		2	4	20.0
06E	AM	10142018	146147.0	50º F, mostly sunny	Some		Humans, Dogs, Small birds	Calm		2	1	22.0
07C	PM	10202018	189190.0	62º F, Sunny			Humans, Dogs, Sparrows, Other Birds	Calm		2	6	23.0
07E	PM	10132018	112113.0	56° F, Cloudy, Light Wind			Humans, Dogs, Sparrows	Busy		2	5	39.0
07H	AM	10062018	5051.0	60s, cloudy, slight drizzle	Some		Sparrows, Butterflies	Busy		2	16	30.0
08C	PM	10132018	197198.0	54° F, Bit Breezy, Cool	Some		Humans, Dogs, Pigeons	Calm		2	8	22.0
09B	PM	10132018	197198.0	54° F, Breeze, Cool			Humans, Dogs, Rats (Notes)	Calm		2	10	22.0
09H	AM	10062018	2526.0	64º F, cloudy	Some		Humans, Dogs	Busy		2	6	20.0
10B	AM	10062018	7172.0		Some		Humans, Dogs, Pigeons	Busy		2	4	35.0
10C	PM	10132018	112113.0	56° F, Cloudy	Some		Humans, Dogs, Sparrow, Starlings, Cardinals, Crows	Busy		2	4	27.0
10G	AM	10062018	136137.0	64º F, overcast	Some		Humans, Dogs, Sparrows	Busy		2	11	58.0
10H	AM	10142018	146147.0	50º F, cloudy			Humans, Dogs, Small birds	Busy		2	6	23.0
11D	PM	10062018	2829.0	65º F			Humans, Dogs, Horses	Busy		2	5	25.0
11H	PM	10132018	129130.0	55º F, sunny	Abundant		Humans	Busy		2	4	20.0
11I	PM	10122018	4243.0	58-60º F, sunny			Humans, Dogs, Birds, Mice	Calm		2	7	23.0
14G	PM	10132018	129130.0	55º F, sunny	Abundant		Humans	Busy		2	1	20.0
15A	AM	10072018	2021.0	71º F, Humid. Cloudy.	Some		Humans, Dogs, Sparrows. Butterflies	Busy		2	2	20.0
15D	AM	10072018	2021.0	71º F, humid cloudy	Some		Humans, Dogs	Calm		2	8	
15I	PM	10122018	4243.0	58-60º F, sunny	Some		Humans, Dogs, Birds	Busy		2	7	25.0
16H	PM	10142018	5253.0	cool, dusk	Some		Humans, Dogs, Birds	Calm, Busy		2	5	25.0
16I	PM	10142018	5253.0	cool, dusk	Some		Humans, Dogs, Birds	Calm		2	0	20.0
17C	AM	10182018	213214.0	Low 40s, Windy, Sunny			Dogs, Birds	Calm		2	0	25.0
18D	AM	10182018	213214.0	Low 40s, Windy, Sunny	Some		Humans	Busy		2	4	25.0
18F	PM	10082018	164165.0	cloudy, misting rain			Humans, Dogs, Mallard, Sparrow	Busy		2	2	16.0
18F	AM	10142018	8990.0	49º F			Humans, Dogs, Birds	Busy		2	2	24.0
18G	AM	10142018	8990.0	49º F, sunny			Birds	Calm		2	3	25.0
19B	PM	10182018	9192.0	51º F, Clear			Humans, Dogs, Birds, Robins, Mourning Doves	Busy		2	5	30.0
19C	PM	10182018	207208.0	51º F, Clear			Humans, Hawks, Dogs, Pigeons, Robin	Busy		2	8	30.0
20E	PM	10062018	8586.0	65º F, light drizzle			Humans	Calm		2	0	15.0
21A	AM	10192018	213214.0	Clear, Calm, No wind	Some		Humans, Dogs, Birds	Calm		2	9	25.0
21A	PM	10062018	8586.0	65º F, Drizzle	Abundant		Humans, Dogs	Busy		2	0	27.0
21B	AM	10192018	213214.0	Mid 40s, Clear, No Wind	Some		Humans, Dogs, Pigeons, Birds	Calm		2	7	25.0
21C	PM	10062018	1415.0	65º F, Slightly Drizzling	Some		Humans	Busy		2	1	25.0
21D	AM	10082018	156157.0	70º F, cloudy, misty			Humans, Dogs, Birds	Busy		2	6	20.0
22A	AM	10082018	156157.0	70º F, cloudy	Some		Dogs, Birds	Busy		2	6	20.0
22C	PM	10062018	1415.0	65º F, Drizzling			Humans, Dogs	Busy		2	13	30.0
22F	AM	10072018	5859.0	72º F, Foggy	Some		Humans, Dogs, Sparrow	Moderate	In between	2	7	20.0
22I	AM	10072018	5859.0	72º F, Foggy	Some		Humans, Dogs, Starlings, Sparrows, Blue jays	Busy		2	3	20.0
23A	PM	10072018	192193.0		Some		Humans, Dogs	Busy		2	0	20.0
23D	PM	10072018	192193.0		Some		Humans, Rats (by reservoir)	Busy		2	0	20.0
23G	PM	10122018	3032.0	artsy lighting, breezy	Some		Humans	Calm		2	0	20.0
24A	PM	10072018	3132.0	80º F, Humid. Overcast. No rain.			Humans, Dogs, Little Birds	Moderate	In between calm and busy	2	5	23.0
24I	PM	10072018	45.0	Humid. Overcast.			Humans, Dogs, Birds	Calm		2	0	30.0
25A	PM	10072018	3132.0	79º F, Humid. Overcast. No rain.			Humans, Dogs, Raccoons, Little Birds, Raccoon sleeping in tree	Calm, Busy	Calm on grass. Busy on road.	2	1	21.0
27B	PM	10062018	155.0	Misty, rain, cool			Pigeons, Robins	Calm		2	2	20.0
27I	PM	10202018	3334.0	60º F, Sunny	Some		Humans, Dogs, Pigeons	Busy		2	5	20.0
30H	PM	10062018	159160.0	Raining			Ducks			2	1	11.0
30I	PM	10062018	159160.0							2	7	23.0
32D	AM	10132018	187188.0	48º F, sprinkling			Humans, Dogs	Busy		2	6	20.0
33A	AM	10082018	139140.0	65º F, drizzle						2	1	30.0
34B	AM	10132018	187188.0	50º F, light rain			Humans	Busy		2	3	23.0
34D	AM	10082018	139140.0	65º F, drizzle	Some		Humans	Calm		2	3	25.0
37A	PM	10132018	250251.0	55º F, mostly cloudy	Abundant		Humans, Dogs, Chipmunk, Sparrow	Calm		2	2	20.0
37G	AM	10142018	139140.0	50º F, mostly sunny			Humans, Dogs	Calm		2	6	27.0
39G	PM	10132018	6768.0	Sunny, cloudy, chilly, damp, slightly warm	Some		Humans, Sleeping possum, Chipmunk, Blue jay	Calm		2	7	24.0
39I	PM	10132018	174175.0	53º F, mostly cloudy			Humans, Dogs, Pigeons, Blue jays, American Robin, Chipmunk	Busy		2	4	23.0
40B	PM	10142018	152153.0	57º F, cloudy			Humans, Hawks, Chipmunks	Calm		2	8	35.0
40C	PM	10062018	174175.0	Overcast lite rain			Humans, Dogs, Chimney Swifts, Birds, Chipmunk	Calm		2	8	25.0
40E	PM	10172018	139140.0	63º F, Partly Cloudy						2	3	
40G	PM	10132018	174175.0	55º F, partly cloudy			Humans, Pigeons, Chipmunk	Calm		2	6	22.0
40I	PM	10132018	6768.0	55º F, partly cloudy, chilly, breezy, some sun	Some		Humans, Hawks, Dogs, Pigeons, Duck	Busy		2	1	25.0
41B	AM	10102018	74.0	Humid	Some			Calm		2	11	32.0
41E	PM	10132018	250251.0	55º F, partly cloudy	Some		Humans, Dogs, Chipmunk, Sparrows	Calm, Busy	Calm (in forest), Busy (near road)	2	5	21.0
42B	AM	10142018	176.0				Humans, Dogs	Calm		2	2	
42F	PM	10172018	139140.0	62º F, Partly Sunny/Cloudy			Mallards, Canadian Geese			2	4	
42G	PM	10142018	3839.0	overcast	Some		Humans, Hawks, Dogs, Pigeons, Geese	Busy		2	3	25.0
04G	AM	10062018	142143144.0	65º F, cloudy, sprinkling of rain			Humans, Dogs, Horses	Busy		3	5	24.0
06G	AM	10082018	48.0	68º F, humid			Humans, Dogs	Calm		3	6	20.0
07F	AM	10082018	48.0	68º F, chilly, humid	Some		Humans, Dogs	Calm		3	17	22.0
08A	AM	10132018	179180181.0	55º F, rainy	Some		Pigeons	Calm		3	6	20.0
08B	AM	10072018	227.0	70º F, Muggy			Humans, Dogs, Pigeons, Doves. Grackle Birds	Busy		3	9	25.0
09A	AM	10132018	179180181.0		Some		Humans, Dogs, Pigeons, Rats, Blue jays	Busy		3	12	20.0
11F	PM	10062018	168.0		Some		Humans, Dogs, Pigeons	Busy		3	3	26.0
12G	PM	10072018	106.107108	80º F			Humans, Cat bird	Busy		3	7	29.0
12H	PM	10072018	106.107108	79º F			Humans, Sparrows	Busy		3	8	30.0
26A	PM	10062018	185.0				Horse, Pony			3	6	30.0
